CustomerID,InvoiceDate,Recency,Frequency,MonetaryValue,Cluster,Segment
12346.0,2023-01-18 10:01:00,925,1,77183.6,1,Regular
12347.0,2023-08-02 08:48:00,729,5,2790.86,0,Occasional
12348.0,2023-04-05 10:47:00,848,3,1487.24,0,Occasional
12350.0,2023-02-02 16:01:00,910,1,334.4,0,Occasional
12352.0,2023-03-22 16:08:00,862,5,1561.81,0,Occasional
12353.0,2023-05-19 17:47:00,804,1,89.0,0,Occasional
12354.0,2023-04-21 13:11:00,832,1,1079.4,0,Occasional
12355.0,2023-05-09 13:49:00,814,1,459.4,0,Occasional
12356.0,2023-04-08 12:33:00,845,2,2753.08,0,Occasional
12358.0,2023-07-12 10:04:00,750,1,484.86,0,Occasional
12359.0,2023-06-03 12:26:00,789,3,3495.73,0,Occasional
12360.0,2023-05-23 09:43:00,800,1,1083.58,0,Occasional
12361.0,2023-02-25 13:51:00,887,1,189.9,0,Occasional
12362.0,2023-07-07 12:32:00,755,3,1278.1,0,Occasional
12363.0,2023-04-11 13:29:00,842,1,299.1,0,Occasional
12365.0,2023-02-21 14:04:00,891,2,641.38,0,Occasional
12370.0,2023-03-10 12:48:00,874,3,2806.41,0,Occasional
12372.0,2023-05-11 10:43:00,812,2,914.9200000000001,0,Occasional
12373.0,2023-02-01 13:10:00,911,1,364.6,0,Occasional
12377.0,2023-01-28 15:45:00,915,2,1628.12,0,Occasional
12378.0,2023-08-02 10:34:00,729,1,4008.62,0,Occasional
12379.0,2023-06-22 16:32:00,770,1,459.84,0,Occasional
12380.0,2023-06-07 09:49:00,785,1,607.5500000000001,0,Occasional
12383.0,2023-06-08 08:02:00,784,5,1850.56,0,Occasional
12386.0,2023-01-06 12:37:00,937,2,401.9,0,Occasional
12388.0,2023-07-14 13:28:00,748,4,1668.3400000000001,0,Occasional
12393.0,2023-04-08 09:45:00,845,3,1061.1000000000001,0,Occasional
12394.0,2023-05-06 14:01:00,817,1,381.08,0,Occasional
12395.0,2023-06-30 16:52:00,762,7,1733.62,0,Occasional
12397.0,2023-07-27 14:21:00,735,1,1214.81,0,Occasional
12399.0,2023-06-09 13:09:00,783,3,899.03,0,Occasional
12401.0,2023-02-09 13:50:00,903,1,84.3,0,Occasional
12402.0,2023-01-20 13:49:00,923,1,225.6,0,Occasional
12405.0,2023-07-14 08:52:00,748,1,1710.39,0,Occasional
12406.0,2023-06-09 10:23:00,783,1,1621.25,0,Occasional
12407.0,2023-07-28 16:28:00,734,4,1407.3600000000001,0,Occasional
12408.0,2023-06-17 10:51:00,775,3,1491.77,0,Occasional
12409.0,2023-06-10 12:19:00,782,1,6207.08,0,Occasional
12410.0,2023-02-04 10:39:00,908,2,693.3299999999999,0,Occasional
12412.0,2023-07-25 11:17:00,737,2,890.74,0,Occasional
12413.0,2023-04-17 15:33:00,836,2,563.9,0,Occasional
12414.0,2023-05-06 14:51:00,817,3,562.41,0,Occasional
12415.0,2023-07-19 10:51:00,743,12,77265.72,1,Regular
12417.0,2023-06-05 15:46:00,787,5,1898.27,0,Occasional
12421.0,2023-06-19 13:54:00,773,2,396.8,0,Occasional
12422.0,2023-06-24 13:20:00,768,2,655.86,0,Occasional
12423.0,2023-06-01 09:26:00,791,6,1451.69,0,Occasional
12424.0,2023-06-30 12:06:00,762,2,1760.96,0,Occasional
12426.0,2023-05-29 12:26:00,794,1,582.73,0,Occasional
12427.0,2022-12-03 10:44:00,971,1,303.5,0,Occasional
12428.0,2023-07-05 12:23:00,757,7,6942.9800000000005,0,Occasional
12429.0,2023-06-20 12:14:00,772,3,2844.88,0,Occasional
12431.0,2023-07-26 10:16:00,736,10,4265.81,0,Occasional
12432.0,2023-06-22 13:12:00,770,3,4016.66,0,Occasional
12433.0,2022-12-08 16:49:00,966,2,3787.12,0,Occasional
12434.0,2023-03-24 13:05:00,860,1,286.25,0,Occasional
12435.0,2023-03-17 07:40:00,867,1,3978.9900000000002,0,Occasional
12437.0,2023-06-15 09:01:00,777,9,2476.73,0,Occasional
12438.0,2023-07-22 13:29:00,740,1,890.0699999999999,0,Occasional
12441.0,2022-12-08 10:45:00,966,1,173.55,0,Occasional
12444.0,2023-06-21 14:00:00,771,1,1870.2,0,Occasional
12447.0,2023-04-10 13:25:00,843,1,476.49,0,Occasional
12449.0,2023-08-02 09:14:00,729,2,1636.88,0,Occasional
12450.0,2023-07-06 14:41:00,756,2,197.88,0,Occasional
12451.0,2023-05-05 17:34:00,818,2,5307.82,0,Occasional
12453.0,2023-07-28 14:08:00,734,1,707.09,0,Occasional
12455.0,2023-07-06 13:18:00,756,4,2097.8,0,Occasional
12456.0,2023-07-31 15:25:00,731,2,2265.4,0,Occasional
12457.0,2023-04-20 10:10:00,833,3,1067.25,0,Occasional
12458.0,2023-02-28 10:55:00,884,1,441.92,0,Occasional
12461.0,2023-07-08 10:23:00,754,1,626.88,0,Occasional
12462.0,2023-02-09 14:44:00,903,1,762.11,0,Occasional
12463.0,2023-06-17 14:28:00,775,3,985.79,0,Occasional
12464.0,2023-07-13 11:58:00,749,5,590.4499999999999,0,Occasional
12465.0,2023-06-23 13:37:00,769,1,440.94,0,Occasional
12468.0,2023-06-05 11:36:00,787,2,729.5400000000001,0,Occasional
12471.0,2023-07-07 12:40:00,755,16,9375.58,0,Occasional
12472.0,2023-07-24 11:55:00,738,5,4927.6,0,Occasional
12473.0,2023-06-01 10:15:00,791,1,672.1899999999999,0,Occasional
12474.0,2023-07-25 10:04:00,737,12,3896.38,0,Occasional
12476.0,2023-07-21 17:39:00,741,6,3191.67,0,Occasional
12477.0,2023-04-14 13:59:00,839,2,4576.97,0,Occasional
12480.0,2023-07-19 14:04:00,743,3,2144.95,0,Occasional
12481.0,2023-06-13 10:52:00,779,8,4101.76,0,Occasional
12483.0,2023-06-09 12:20:00,783,5,1314.6100000000001,0,Occasional
12484.0,2023-06-16 11:30:00,776,2,2276.66,0,Occasional
12489.0,2023-01-07 13:13:00,936,1,334.93,0,Occasional
12490.0,2023-07-24 11:25:00,738,4,2092.71,0,Occasional
12493.0,2023-06-27 10:17:00,765,2,433.74,0,Occasional
12494.0,2023-07-01 12:17:00,761,5,868.86,0,Occasional
12500.0,2023-06-24 10:16:00,768,5,1395.8400000000001,0,Occasional
12501.0,2023-01-07 12:28:00,936,1,2169.39,0,Occasional
12502.0,2023-05-06 08:19:00,817,3,1842.65,0,Occasional
12506.0,2023-04-21 08:54:00,832,1,73.5,0,Occasional
12507.0,2023-07-28 17:09:00,734,3,1304.81,0,Occasional
12509.0,2023-02-28 14:45:00,884,1,176.5,0,Occasional
12510.0,2023-07-20 10:15:00,742,2,982.5699999999999,0,Occasional
12514.0,2023-03-17 16:38:00,867,1,1017.68,0,Occasional
12515.0,2022-12-21 15:43:00,953,1,383.7,0,Occasional
12516.0,2023-06-12 11:37:00,780,1,583.2,0,Occasional
12517.0,2023-06-02 15:13:00,790,1,766.95,0,Occasional
12520.0,2023-07-20 14:38:00,742,4,2045.85,0,Occasional
12521.0,2023-07-20 10:51:00,742,1,599.68,0,Occasional
12523.0,2023-07-27 13:14:00,735,5,704.94,0,Occasional
12524.0,2023-06-30 15:30:00,762,6,3122.48,0,Occasional
12527.0,2023-02-18 09:41:00,894,2,284.92,0,Occasional
12528.0,2023-07-13 12:24:00,749,3,1053.37,0,Occasional
12530.0,2023-04-20 09:31:00,833,2,805.0,0,Occasional
